书名,作者,朝代,成书年代,著作类别,内容概要,学术价值,简介
《营造法式》,是李诫,宋,1103年刊行,建筑设计施工规范,《营造法式》是宋崇宁二年（1103年）出版的图书，作者是李诫，是李诫在两浙工匠喻皓的《木经》的基础上编成的,是北宋官方颁布的一部建筑设计、施工的规范书， 这是我国古代最完整的建筑技术书籍，标志着中国古代建筑已经发展到了较高阶段,《营造法式》是宋崇宁二年（1103年）出版的图书，作者是李诫，是李诫在两浙工匠喻皓的《木经》的基础上编成的。是北宋官方颁布的一部建筑设计、施工的规范书， 这是我国古代最完整的建筑技术书籍，标志着中国古代建筑已经发展到了较高阶段。
《园冶》,计成,明,1631年成书，1634年刊行,园林设计理论,全书共3卷，附图235幅；《园冶》是计成将园林创作实践总结提高到理论的专著，全书论述了宅园、别墅营建的原理和具体手法，反映了中国古代造园的成就，总结了造园经验，是一部研究古代园林的重要著作,《园冶》是计成将园林创作实践总结提高到理论的专著，全书论述了宅园、别墅营建的原理和具体手法，反映了中国古代造园的成就，总结了造园经验，是一部研究古代园林的重要著作,中国古代造园专著，中国第一本园林艺术理论专著。明末造园家计成在江苏仪征所著，崇祯四年（公元1631年）成稿，崇祯七年（1634）刊行。全书共3卷，附图235幅。《园冶》是计成将园林创作实践总结提高到理论的专著，全书论述了宅园、别墅营建的原理和具体手法，反映了中国古代造园的成就，…
《工程做法则例》,清工部,清,1734年刊行,建筑设计施工规范,工程做法则例，中国清代官式建筑通行的标准设计规范，原书封面书名为《工程做法则例》，而中缝书名为《工程做法》，共74卷，雍正十二年（1734）刊行，是继宋代《营造法式》之后官方颁布的又一部较为系统全面的建筑工程专书,工程做法则例，中国清代官式建筑通行的标准设计规范，原书封面书名为《工程做法则例》，而中缝书名为《工程做法》，共74卷，雍正十二年（1734）刊行，是继宋代《营造法式》之后官方颁布的又一部较为系统全面的建筑工程专书,工程做法则例，中国清代官式建筑通行的标准设计规范，原书封面书名为《工程做法则例》，而中缝书名为《工程做法》，共74卷，雍正十二年（1734）刊行，是继宋代《营造法式》之后官方颁布的又一部较为系统全面的建筑工程专书。
《梓人传》,柳宗元,唐,,建筑技术专著,《梓人传》是唐代著名文学家柳宗元的作品，本文选自《柳河东集》,《梓人传》是唐代著名文学家柳宗元的作品，本文选自《柳河东集》,《梓人传》是唐代著名文学家柳宗元的作品，本文选自《柳河东集》。梓人指木工，建筑工匠。本文讲述了有木匠来敲翡封叔家宅的门，希望租间空屋子居住，用替屋主人服役来代替房租的故事。
《长物志》,人文震亨,明,1621年成书,园林设计理论,全书分为室庐、花木、水石、禽鱼、书画、几榻、器具、位置、衣饰、舟车、蔬果、香茗十二类，系统记述园林营造、器物选用及陈设规范，涵盖收藏鉴赏的具体方法,全书分为室庐、花木、水石、禽鱼、书画、几榻、器具、位置、衣饰、舟车、蔬果、香茗十二类，系统记述园林营造、器物选用及陈设规范，涵盖收藏鉴赏的具体方法,《长物志》是明代文人文震亨所著的生活美学著作，成书于1621年，共十二卷。书名取自《世说新语》中“长物”概念，指代非生存必需的闲适玩好之物，强调器物鉴赏的雅致品位，其编纂基础为“重于鉴赏，志在汲古探新”。全书分为室庐、花木、水石、禽鱼、书画、几榻、器具、位置、衣饰、舟车、蔬果、…
《鲁班经》,午荣 汇编,明,2007年刊行,古籍整理本,全书系统记载春秋至宋元时期建筑营造法式与家具设计规范，涵盖正三架式、正五架式等框架结构及宫殿、祠堂等建筑形制，收录桌椅、箱柜等三十余种家具样式,该书全称《新镌京版工师雕斫正式鲁班经匠家镜》，现存最早版本为明万历年间刻本，含三卷及附录，与《鲁班营造正式》为不同典籍；全书系统记载春秋至宋元时期建筑营造法式与家具设计规范，涵盖正三架式、正五架式等框架结构及宫殿、祠堂等建筑形制，收录桌椅、箱柜等三十余种家具样式,《鲁班经》是由明代午荣汇编、易金木译注的古籍整理本，2007年9月由华文出版社出版。该书全称《新镌京版工师雕斫正式鲁班经匠家镜》，现存最早版本为明万历年间刻本，含三卷及附录，与《鲁班营造正式》为不同典籍。全书系统记载春秋至宋元时期建筑营造法式与家具设计规范，涵盖正三架式、正五架…
《天然图画》,,清,清,文化遗址,天然图画是清代圆明园四十景之一，位于九州景区后湖东岸，属康熙朝始建的园林建筑群，初名竹子院，雍正时期改称天然图画,天然图画是清代圆明园四十景之一，位于九州景区后湖东岸，属康熙朝始建的园林建筑群，初名竹子院，雍正时期改称天然图画,天然图画是清代圆明园四十景之一，位于九州景区后湖东岸，属康熙朝始建的园林建筑群，初名竹子院，雍正时期改称天然图画。该景西临后湖，主体建筑为方楼，周边分布朗吟阁、竹薖楼、五福堂等景观，以竹林、玉兰和借景西山群岚、玉泉塔影著称。乾隆九年御制《天然图画》诗咏其景，五福堂前玉兰为康熙五…
《考工记》,佚名（齐国人）,春秋战国,约前5世纪,城市设计与工种规范,记述百工制度，包括攻木之工、攻金之工、攻皮之工等六大门类30个工种；匠人篇详细描述王城规划制度：匠人营国方九里旁三门，国中九经九轨，左祖右社面朝后市,中国第一部工科巨著，是中国古代城市设计和建造理论的经典著作，也是工业生产各工种设计规范和制造工艺的重要文献；匠人营国制度影响中国都城规划两千余年,
《木经》,喻皓,北宋,约10世纪末,建筑技术专著,中国第一部建筑专著，记录木构建筑的设计与施工方法；原书已失传，沈括梦溪笔谈中保存部分内容；分为上中下三卷，论述建筑尺度与比例关系,中国历史上第一部建筑专著，在营造法式问世之前被工匠奉为营造经典著作；虽已失传，但通过沈括梦溪笔谈流传部分内容，对后世建筑理论发展有重要影响,
《匠人》,佚名,西周,约前11世纪,城市规划与建筑制度,记述西周王城规划制度，匠人营国方九里旁三门；规定都城中轴线布局、道路宽度、建筑间距等；左祖右社面朝后市的布局原则,中国最早的城市规划文献，匠人营国方九里旁三门的都城制度影响深远，左祖右社面朝后市的布局原则沿用至明清,
